Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300
47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500
57,2023-11-18,CUST057,Female,63,Beauty,1,30,30
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000
84,2023-11-28,CUST084,Female,38,Electronics,3,30,90
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90
87,2023-11-22,CUST087,Female,28,Beauty,2,50,100
95,2023-11-24,CUST095,Female,32,Clothing,2,30,60
115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500
137,2023-11-18,CUST137,Male,46,Beauty,2,500,1000
141,2023-11-02,CUST141,Female,22,Electronics,1,50,50
145,2023-11-02,CUST145,Female,39,Clothing,3,25,75
156,2023-11-25,CUST156,Female,43,Clothing,4,25,100
169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500
171,2023-11-24,CUST171,Female,52,Clothing,3,300,900
173,2023-11-08,CUST173,Male,64,Electronics,4,30,120
181,2023-11-03,CUST181,Male,19,Electronics,4,300,1200
205,2023-11-07,CUST205,Female,43,Clothing,1,25,25
215,2023-11-29,CUST215,Male,58,Clothing,3,500,1500
234,2023-11-20,CUST234,Female,62,Electronics,2,25,50
267,2023-11-27,CUST267,Female,32,Beauty,3,30,90
289,2023-11-30,CUST289,Male,53,Electronics,2,30,60
334,2023-11-01,CUST334,Male,31,Electronics,3,300,900
343,2023-11-01,CUST343,Male,21,Electronics,2,25,50
345,2023-11-14,CUST345,Male,62,Electronics,1,30,30
362,2023-11-27,CUST362,Male,50,Clothing,1,25,25
369,2023-11-15,CUST369,Male,23,Electronics,3,500,1500
388,2023-11-10,CUST388,Male,50,Electronics,1,25,25
405,2023-11-06,CUST405,Female,25,Clothing,4,300,1200
410,2023-11-21,CUST410,Female,29,Clothing,2,50,100
417,2023-11-21,CUST417,Male,43,Electronics,3,300,900
424,2023-11-23,CUST424,Male,57,Beauty,4,300,1200
458,2023-11-14,CUST458,Female,39,Electronics,4,25,100
493,2023-11-25,CUST493,Male,41,Beauty,2,25,50
507,2023-11-02,CUST507,Female,37,Electronics,3,500,1500
512,2023-11-07,CUST512,Female,57,Beauty,1,25,25
533,2023-11-16,CUST533,Male,19,Electronics,3,500,1500
554,2023-11-12,CUST554,Female,46,Beauty,3,50,150
565,2023-11-07,CUST565,Female,45,Beauty,2,30,60
581,2023-11-21,CUST581,Female,48,Beauty,2,30,60
582,2023-11-14,CUST582,Male,35,Clothing,3,300,900
595,2023-11-09,CUST595,Female,18,Clothing,4,500,2000
599,2023-11-19,CUST599,Female,28,Beauty,2,50,100
628,2023-11-01,CUST628,Female,19,Beauty,4,50,200
631,2023-11-10,CUST631,Male,56,Electronics,3,30,90
641,2023-11-23,CUST641,Female,40,Electronics,1,300,300
645,2023-11-17,CUST645,Female,35,Electronics,4,30,120
690,2023-11-05,CUST690,Female,52,Clothing,3,300,900
706,2023-11-15,CUST706,Male,51,Electronics,4,25,100
715,2023-11-26,CUST715,Female,42,Beauty,4,25,100
739,2023-11-29,CUST739,Male,36,Beauty,1,25,25
741,2023-11-30,CUST741,Male,48,Clothing,1,300,300
747,2023-11-15,CUST747,Male,23,Beauty,1,30,30
761,2023-11-07,CUST761,Female,33,Clothing,1,500,500
762,2023-11-07,CUST762,Female,24,Electronics,2,25,50
778,2023-11-18,CUST778,Female,47,Beauty,4,25,100
784,2023-11-04,CUST784,Female,34,Electronics,1,500,500
795,2023-11-28,CUST795,Male,57,Electronics,1,300,300
803,2023-11-22,CUST803,Male,39,Clothing,4,25,100
810,2023-11-30,CUST810,Male,59,Electronics,4,25,100
812,2023-11-12,CUST812,Male,19,Electronics,3,25,75
827,2023-11-09,CUST827,Male,61,Beauty,3,300,900
841,2023-11-02,CUST841,Male,31,Electronics,4,25,100
856,2023-11-27,CUST856,Male,54,Electronics,4,30,120
898,2023-11-02,CUST898,Female,42,Clothing,3,30,90
918,2023-11-23,CUST918,Female,42,Electronics,3,30,90
938,2023-11-19,CUST938,Male,49,Clothing,4,50,200
950,2023-11-07,CUST950,Male,36,Clothing,3,300,900
951,2023-11-02,CUST951,Male,33,Beauty,2,50,100
952,2023-11-13,CUST952,Female,57,Clothing,1,25,25
963,2023-11-14,CUST963,Female,55,Beauty,1,50,50
965,2023-11-09,CUST965,Male,22,Clothing,4,50,200
968,2023-11-17,CUST968,Female,48,Clothing,3,300,900
983,2023-11-01,CUST983,Female,29,Clothing,1,300,300
997,2023-11-17,CUST997,Male,52,Beauty,3,30,90
